videoId,title,description,published_at,channel,thumbnail_url,transcripts,generated_by_youtube,original_lang,views,comments,likes
m-uGoUlbP90,Hindi Cannot Be The Only National Language: TN BJP Chief Annamalai | #Shorts,Hindi Cannot Be The Only National Language: TN BJP Chief Annamalai #bestofconclave #bjp #indiatodayconclave2023 ...,2023-05-09T22:00:30Z,India Today,https://i.ytimg.com/vi/m-uGoUlbP90/hqdefault.jpg,"it cannot be a national language the
only national language of our country
period
many of our leaders have clarified it
unfortunately for DMK they still live in
the dream of 1965 when they started
their anti in the agitation
and they still that is the only Mantra
they have every time they fail in their
governance people get angry
the morning they say Hindi Hindi Hindi
tell me one instance somewhere in India
any minute he said you should
you should State like madhya Pradesh
when it brings Hindi into medical and
engineering
stream
has got a problem
please bring Tamil
medium of instruction for engineering
and Medicine which has brought it
yesterday
so this is just a bogey
saying this boogie because they failed
with their governments",True,en,22190,27,952
aY2dhyPC2TI,&#39;She is not that soft spoken&#39; | Watch Ram Charan And His Wife&#39;s Candid Conversation | #Shorts,'She is not that soft spoken' | Watch Ram Charan And His Wife's Candid Conversation | #Shorts #bestofconclave #ramcharan ...,2023-05-09T20:00:03Z,India Today,https://i.ytimg.com/vi/aY2dhyPC2TI/hqdefault.jpg,"give us a sense of what the last week
last few months have been like Golden
Globes Oscars it must be a dream
it really is and my baby's been very
kind to me to let me travel and uh it's
been really really nice
and I'm really grateful to Ram Charan
and my uh you know all the people around
my family and everybody all I can say is
I'm very very grateful thank you she's
not this soft-spoken at home
laughs
[Laughter]",True,en,50675,7,2036
YGviMQDF9ZI,India First With Gaurav Sawant Live : Imran Khan Arrested | Anti-Pakistan Army Slogans In Lahore,India First With Gaurav Sawant Live : Imran Khan Arrested | Anti-Pakistan Army Slogans In Lahore Former Pakistan Prime Minister ...,2023-05-09T17:42:12Z,India Today,https://i.ytimg.com/vi/YGviMQDF9ZI/hqdefault.jpg,"foreign
special broadcast on a day when
Pakistan's former prime minister Imran
Khan was arrested rather unceremoniously
by Pakistan Rangers from inside the
record room of the Islamabad High Court
arson violence and Chaos ruled Supreme
on the streets across Pakistan across
multiple cities from Lahore to Multan
and these are images that we are showing
you of the House of the 4-4 Commander
the Lahore poor Commander's house has
been set on fire the Multan four
headquarters and Cantonment has also
been targeted but protesters in their
excitement and we will show you those
images as you look at this image this is
the Lahore Kor Commander's house these
are protests of Azadi Azadi protests on
the streets of Lahore and Multan and
other parts of Pakistan but I'll just
show you an image you will hear the
firing in the background this is the isi
headphone those
when in their excitement Imran Khan
supporters targeted the isi headquarters
that is where reports from Pakistan
indicate that Pakistan Army opened fire
and you will hear that in fact Pakistan
Army has opened sided protesters Lahore
Corps Commander's house has been
