videoId,title,description,published_at,channel,thumbnail_url,transcripts,generated_by_youtube,original_lang,views,comments,likes
Lo3M_QjjIno,Censor Board Clears PM Narendra Modi Biopic With &#39;U&#39; Certificate,"Vivek Oberoi-starring PM Narendra Modi will release tomorrow, April 11, on the first day of the first phase of the Lok Sabha ...",2019-04-10T07:25:16Z,India Today,https://i.ytimg.com/vi/Lo3M_QjjIno/hqdefault.jpg,"we've got some information coming in
that Prime Minister Modi's biopic will
release tomorrow the Central Board for
Film certification has given a you a
universal certificate for this film's
release it will be released tomorrow
it's a two-hour 10-minute long film
starring Vivek Oberoi much effort was
made to stall this film charges were
levelled that this is propaganda for the
Prime Minister and for the Mafia janta
party after considering all appeals it's
been finally decided that this movie
will get a you certificate and be
released tomorrow
Aishwarya polieville is tracking this
forest the CBF sea finally giving a new
certificate vivek oberoi and the makers
of the film will be heaving a sigh of
relief
well definitely a new sigh of relief for
the week oh God
because the release was in a limbo
because the BBFC had not given
certificates what we now understand is
that our youth certificate has been
given and the movie will be 2 hours 10
minutes long what we now need to see is
what decision will the will the Election
Commission take because now the ball is
in the election commission scores
however what we do understand from our
sources in the Election Commission is
that we should expect their decision on
the biopic in the cup in the next couple
of hours so what's the matter that's
before the Election Commission will it
look at whether this movie is election
propaganda separately outside of what
the CB FC is doing yes that is what the
Election Commission will be looking into
now because all the complaints that were
submitted to the Election Commission
from opposition parties including the
Congress party all the opposition
parties at the moment saying that this
film is propaganda if this will also is
being released the timing was questioned
by the opposition parties opposition
parties also blamed PGP and the Prime
Minister saying that this is a new way
to which they are trying to get voters
to watch for the party this is the
decision that the Election Commission
will now have to take the Commission
will see whether the movie is propaganda
and whether it has it has wait enough to
sway voters this is the decision that
will be taken by the Election Commission
opposition parties also easily
waiting for the decision to come out we
understand that the decision will be
ousted a definite thanks Aishwarya
thanks for watching the video for more
such news and updates please like share
and subscribe to India to be also check
out our other great videos from our
Channel
we know you would love to
[Music]",True,en,2008,6,29
PaPWzwETHzE,Youngsters Initiate &#39;Keep Pondicherry Clean&#39; | Election Express 2019 Drives Into Puducherry,India Today's Election Express drives into Puducherry where Ankit Tyagi talks to youngsters who initiated 'Keep Pondicherry ...,2019-04-09T16:14:12Z,India Today,https://i.ytimg.com/vi/PaPWzwETHzE/hqdefault.jpg,"[Music]
[Music]
you are the loveliness that came to I
invited you are the amnesty that pardon
me
the spire when bought needs a break he
comes to Pondicherry English thinking
but I mean we just want to what the
people who is ready to control the water
[Music]
[Music]
good morning and welcome as I am taking
my first lesson on this surfing boat
trying to balance myself we have reached
Puducherry from chennai
[Music]
okay that was my first lesson at surfing
at least I gave it a short always wanted
to do and it's all thanks to some I from
the Cali Li surfing school here in
Puducherry and you've been here for a
very very long time 24 years so what is
it that you'd really like about
Puducherry surfing it it was a great
time thank you so much good evening and
welcome
where else where else in the country
would you get the amalgamation the
melting point of so many cultures but
voodoo cherry
yes I'm in the state of Puerto cherry
it's only one Lok Sabha seat though and
it goes to pole in the second phase of
election we are coming to you live today
the election Express is live today from
this beautiful beach and behind me is
the mahatma gandhi statue as well and at
least the evening breeze has made this
variable otherwise that they heat could
only you could only cool off in that
fantastic surfing lesson that I had I
know a lot of you would be getting very
jealous about that but when you talk
about the politics usually of this very
cosmopolitan Pondicherry in fact we are
rather this is called the white
treatment behind me my camera person
Ashok will show you that's the very
famous cafe it used to be at one point
of time the port this is where the port
used to be when the French in fact made
it their colony quite beautiful and as I
said it gets you the flavour not only of
the French culture but also of the Tamil
culture is a mixture of too many
identities too many cultures here today
when we are talking about this very
Beach which is behind me I met a group
of young people they call themselves
keep Pondicherry clean and they came up
with a very very strong message and
especially in the election season
because they believe there are a lot of
political parties ignore the issues of
environment people come here litter
massively just about in half an hour
when you are shoe
we were able to collect two big bags
take a look at the story of these
youngsters how they are trying to keep
the beaches opera sherry clean also an
appeal to all the tourists those who
come here please please please a very
eco sensitive zone
don't litter so much take a look at this
story and what their expectation from
their politicians is
[Music]
[Applause]
this lovely beach here in puducherry the
first thing after you are stunned by
this beautiful visual is the litter on
the beach and there is a group of
youngsters which is trying to change and
in fact you are potentially for good
they're cleaning the beach it's our
these volunteers come here every weekend
on weekdays when there are more tourists
here and they come and try and clean the
beach let me just try and get these
youngsters on camera and try and
understand what motivates them this is
the place where people you know gathers
here and they simply eat and they throw
everything here and we thought we
thought there is a dustbin yeah even
maybe 50 to 20 50 they have less been
here but they are throwing this in there
with the water it goes into the sea yeah
so are you getting some support from the
municipal authorities you know of course
most of them are a very aged for
cleaning this place and all they are
very good they cannot do cleaning here
area you can find very difficult to
stand in the rock and clean right so
they are almost at 60 60 days class the
ladies they cannot come and clean here
political parties do they pay any
attention to environmental issues yes
they are supporting us as fellows and
government bodies they are giving
support coming when you go out and when
you hear your candidates talking about
environment issues in the campaign or
that is something that nobody talks
about it's neglected truly speaking no
one bothers about the internal issue in
Pondicherry
you can't wait for anybody else to in
fact do the clearing for you ultimately
it's the responsibility of everybody
it's mine and your responsibility to
make sure that we make this sustainable
we make the environment more livable not
only for ourselves but for the future
generations and this is what these young
people not only are sending out a
message with but they are also hoping
that the political parties will be more
active when they come out and vote this
will be on top of their agenda",True,en,733,0,14
6V9Sx__HvBo,NOTA To Top The Elections? India Today Tracks The Possibility Of NOTA Polls This Election,'None of the above' is an option most voters choose as opposed to the political parties that are in the running for the elections.,2019-04-09T10:49:12Z,India Today,https://i.ytimg.com/vi/6V9Sx__HvBo/hqdefault.jpg,"welcome back and now let's tell you
about nota or none of the above
that has been provided as an option to
the waters of India this provision
through which a citizen can choose not
to vote for any candidate contesting the
elections polled as second runner-up in
the last Lok Sabha election it's also
been revealed through the findings of
India today's data intelligence unit
that this year to nota
coach dent into the war share of
political parties my colleague Griffith
will breaks it down for you what's your
party of choice this elections is it the
Congress the BJP or none of the above
well yes nota now did you know that note
are polled as the second runner-up on at
least 44 of the 543 seats in the
previous election in fact the would
share of Notah was even more than what
21 parties in the fray got about 60 lakh
voters opted for nota and this looks a
vile action says well more and more
voters are going to go for that notion
button on the EVMS making it the third
highest vote getter especially in states
where the BJP and Congress are in direct
contest the Election Commission of India
introduced the nota option in the 2013
assembly elections held in five states
in these states more than 16 lakh waters
opted for nota interestingly in the 2014
Lok Sabha elections Modi's Gujarat tops
the list of voters where lota option was
the third most popular choice a similar
trend emerged in states like
multiplication Rajasthan where wrote
abode as the second runner-up on six
seats in chapters girl no doubt was the
second runner-up on five seats so the
trend so far shows that more and more
voters are going for the motor option to
register their complaints
however legally nota doesn't end up
winning any seats however it does help
the voters who do not go inward to
justify why they don't so what is it
going to be for you what who you will
order to stir your complaint or nota
thanks for watching the video for more
such news and updates please
share and subscribe to India today also
check out our other great videos from
our Channel
we know you would love to
[Music]",True,en,5067,2,37
683ydpcpnQM,Vice Admiral Bimal Verma&#39;s Plea On Supersession Withdrawn From Armed Forces Tribunal,Vice Admiral Bimal Verma who filed a petition against the armed forces tribunal for being superseded by the government by his ...,2019-04-09T09:56:36Z,India Today,https://i.ytimg.com/vi/683ydpcpnQM/hqdefault.jpg,"welcome back the breaking news is about
the petition by Vice Admiral dinner
Varma
now that petition has been withdrawn
from the Armed Forces tribunal because
the tribunal Court has observed that the
applicant hasn't exhausted all remedies
under the Indian Naval Act to which
Verma's lawyer has said that he was
under the impression that the Navy AK is
not attracted in his case interesting
bit of news and development coming in
after Vice Admiral bill Melville MA had
petitioned the Armed Forces tribunal
against the order once he was superseded
by the government to appoint his junior
vice admiral Karamveer Singh as the next
naval chief so that petition has now
been withdrawn from the Armed Forces
tribunal we just are waiting for more
details on this little bit of an update
that has come in okay so the petition of
Vice Admiral bivolo Verma has been
redrawn from the Armed Forces tribunal
and what we're hearing is at least
through this breaking news is that the
tribunal Court has observed that the
applicant hasn't exhausted all remedies
under the Indian Naval Act he is in fact
Vasily a naval officer who's heading the
Adhan Andaman and Nicobar Command in
Port Blair and he in fact had petitioned
the Armed Forces tribunal against the
decision taken by the government when
they decided to appoint his junior Vice
Admiral car embarrassing as the next
naval chief thanks for watching the
video for more such news and updates
please like share and subscribe to India
today also check out our other great
videos from our Channel
we know you would love to
[Music]",True,en,938,3,13
sgP4wrkqUNg,Sanjay  Dutt Accompanies Sister For LS Nomination,Sanjay Dutt Accompanies Sister For LS Nomination. Priya Dutt files nomination in Mumbai's Bandra. Subscribe to India Today for ...,2019-04-08T07:02:43Z,India Today,https://i.ytimg.com/vi/sgP4wrkqUNg/hqdefault.jpg,"you see my minister I do not sing you're
seeing arun jaitley on the diets as well
in the midst of all of this we're
getting images from Mumbai where Sanjay
Dutt is flanking his sister Priya that
to fight a war generation in Bandra
Mustafa Sheikh joins us for details on
this Priya that is the Congress nominee
on that looks of a seat she's
accompanied by her brother Sanjay Dutt
Bollywood actor Mustafa Shaikh we're
seeing these pictures from Bandra and
Mumbai where Priya death has shown up to
file a nomination give us a ground
report was the father
yes of course the hole that we are
talking about Knott central sea tier VI
in Bandra collector's office again see
the Congress supporters which have come
here and there is some more energy seen
since the time actor Sanjay Dutt has
come here okay so we lost that video
Mumbai not Central that's the seat where
prayer that is contesting she was
slightly miffed they've kind of won her
over Javed brought her back into the
fold
yeah she was a bit upset but our Gandhi
at his last was it had a word with her
and now she's back it's also nice to see
Sandhya that now playing the role of the
elder brother for very long as the
sisters of mollycoddled and protected
and you know formed a Selectric cupboard
surrounding he now appears to have
realized that as the other brother he
needs to because their duties he needs
to discharge the Samajwadi Party Javed
campaign campaign for yeah thanks for
watching the video
for more such news and updates please
like share and subscribe to India today
also check out our other great videos
from our Channel
we know you would love to
[Music]",True,en,3013,3,40
cE2NZssfjLQ,BJP Vs TMC | Mamata Banerjee And PM Modi To Address Rally In Cooch Bihar,Mamata Banerjee and Narendra Modi to address mega rallies in the same venue in Cooch Bihar in a span of a day. The two ...,2019-04-07T05:32:26Z,India Today,https://i.ytimg.com/vi/cE2NZssfjLQ/hqdefault.jpg,"now the battleground in West Bengal is
set to witness the clash of titans Prime
Minister Modi will address a mega rally
in cooch behar today momentum will
address a rally at the same venue
tomorrow just a few metres away from the
stage used by the Prime Minister not
surprising then that both sides have
begun pointing fingers at each other
Bangor BJP leaders have accused the
Trinamool or for trying to take control
over the ground erecting a stage for
mamta even before the Prime Minister
could hold his rally the BJP has also
accused the Trinamool leaders of
erecting barricades that will hinder
people's movement during Prime Minister
Modi's rally the TMC on its part has
said that they have dismantled the
portion of the stage as courtesy for the
Prime Minister they also accused BJP
leader muckleroy of not acknowledging
the gesture yes cally Bengali Yahoo raha
hai area bangle Kapoor lizard bangle
collector a collage history kasi East
arica say yes some say 'yeah bangle
Shortcake with a java yutani hi prime
minister cassava dialogue permission
vidya permissions they make a barrage of
kya hai' you're gonna turn to cook slap
me I'd go 800 Jocasta has no tama
definition of a girl she vomited in
easily dodge Anelka theory dr. Essam of
kala DT Modi as para esta página
models City Tsongas I didn't eat a
number right my colleague Minami eval is
on the phone line with me right now
when okay it's very interesting that
both the Prime Minister and mum the
Banerjee seemed to be planning their
campaign trail almost in the same
fashion they seem to be going to the
same areas or locations
well absolutely one is because the first
wave of reaction will see the elections
and the polling happening in cooch behar
Anala co2 are prime seats for both BJP
and TMC both have seen a lot of
anti-incumbency with BMC joining VJ p +
VJ piece of photo joining TMC
but amid all this is interesting who was
on 7th of this month
fine
mr. will be holding a rally there and an
eighth of the same month month of energy
will be holding a rally there the
interesting part is there is of course
scarcity and poverty of ground in those
areas and the kind of crowd that has to
be accommodated with the security of the
VVIP who would be visiting the region
but what is more important is that the
battleground and the loggerheads between
the state and the government of India
continues with even formation of the
crown even when it is election time and
the et has to take a lot of calls when
it becomes the permissions of the ground
as well we we rightly move on right
Manoah thank you for those details
thanks for watching the video for more
such news and updates please like share
and subscribe to India to be also check
out our other great videos from our
Channel we know you would love to
[Music]",True,en,4290,5,32
t7QXnyUKdew,Mayank Agarwal &amp; KL Agarwal Unplugged On IPL And 2019 World Cup,"Kings XI Punjab has made a strong start in the 2019 IPL and a lot of credit for it goes to their top order batsmen, Mayank Agarwal ...",2019-04-06T10:02:29Z,India Today,https://i.ytimg.com/vi/t7QXnyUKdew/hqdefault.jpg,"[Music]
Kings xi punjab have made a strong start
in IPL 2019 and a lot of credit for it
goes to their top water batsman KL Rahul
and monk Agarwal when jobs Canada boy
spoke to India today about their season
thus far and hopes of being on that
flight to England that's what we fought
to scale to play the way that he is is
amazing it's tremendous you know to
watch the way the way he's hitting the
ball the way he's striking the way the
way he's playing he's had a tremendous
series against England as well he's come
his comment form also you know me and
him are friends for a long time but
we've known Chris also for five six
years now when you were there together
it was our first couple of years was
with Chris and I went back to our CB I
played another 2 years with him so again
here two years so known him a long time
now and it's great to have somebody like
that on the team and not just a batsman
what what does he do to the
dressing-room see he brings he brings a
lot of energy he brings a lot of
positivity we were to laughter and
pranks and you know he just brings a lot
of good life and his sense of confidence
it's also be refreshing while you back
definitely because he uh the the kind of
pressure he he creates without even
going to back is something there's no
obviously the opposition bowlers now
start thinking you know how do we get
him out but we plan him out know if
Chris Gayle can play 10 overs then then
you know it's the other team's kind of
doom yeah and this year remind the last
six seven months been good for you you
played for India
you scored runs in Test cricket people
are now also saying that mine Kaka ball
should be playing in the ODI sense men
say I would definitely like to play all
the format's of the game for the country
and you know I'm looking forward to if
and when given a chance but you know
selection is not something that that's
that's in our hand also you know talking
about the five six months they have been
really good playing Test cricket for the
country which is which was my dream has
come true and I'm quite happy that you
know both of us were part of a very
historic wind down under who to achieve
to achieve those feats in
international cricket especially in in
in the in the test and the test format
is something that you know we're looking
at and you know we've been the number
one team for third year in a row now and
then having been there then it also adds
a new dimension to your batting they're
definitely confidence
I feel plays a major role in in cricket
you know it it could be that you know
I've played just desk cricket it's a
different format and t20 is a different
format but the basics of the game remain
the same they can the confidence carries
through and and kala the IPL you know as
a cricketer as a batsman do you think
this can also form basis for the World
Cup selection somebody like you who's in
the reckoning for maybe as a back up
opener people are saying maybe as the
number for do you take the IPL games as
some kind of a trial for the World Cup
selection looks right up
I don't know again like what basis the
World Cup team will be selected
maybe form of course form will play a
very important role and I think you know
it's it's it's not just these two months
I think the the selection committee and
the the Indian support staff the
coaching staff the captain the team you
know they've worked for the last two
three years trying to get that
combination right so I don't think it's
just these two months and the
performance in these two months in the
IPL it is very important to carry for
thanks for watching the video for more
such news and updates please like share
and subscribe to India TV also check out
our other great videos from our Channel
we know you would love to
[Music]",True,en,3999,1,24
EcczjD7dVjs,Polling dates for Lok Sabha Election 2019,May 23: Mark that date in your calendar. On that day India will deliver its verdict on the last five years of the Narendra Modi ...,2019-04-05T16:01:16Z,India Today,https://i.ytimg.com/vi/EcczjD7dVjs/hqdefault.jpg,"elections 2019 in India are gonna be one
of the longest and most staggered
elections in our democracies history
whether I take you through all the day
things are gonna be starting very very
soon in fact they kick off on April the
11th they're gonna be seven separate
phases the first starts on April the
11th and the last is on May the 19th
results day is a consolidated day which
is on the 23rd of May let's first start
with phase one where the polling date is
April the 11th that's a Thursday very
important because this is the kickoff
phase the first phase where you
basically have 25 constituencies from
Andhra Pradesh Arunachal Pradesh to a
Sam five Bihar for a third Pradesh 800
TRACON five and many of these other
states that go to the polls in the first
phase cut to April the 18th that seven
days after the first phase that phase
number do that's when polling happens in
the second phase here again you've got
five parliamentary seats in Assam five
in Bihar Chhattisgarh 3 Jammu and
Kashmir - Karnataka kicks it off with 14
seats Maharashtra has 10 money put 1
Odisha 5 Tamilnadu with 39 seats in that
second phase 3 para won eight important
constituencies in Uttar Pradesh 3 in
West Bengal and Puducherry has one seat
in the second phase then April the 23rd
that's a Tuesday is phase number 3 which
kicks off at that point of time just
short of the Midway mark in this
particular election in phase 3 you've
got a lot of more constituencies going
to the polls right from Assam number 4
four constituencies 37 the hard 5
Gujarat 26 go out to Jammu and Kashmir 1
Karnataka 14 Kerala 20 Maharashtra 14
orisha 6 10 more constituencies in the
large state of Uttar Pradesh West Bengal
5 Dodd rinoa Rivini 1 and Thummim and D
you also has one constituents we going
to the polls in phase number 3 then
phase number 4 this is way past the
halfway mark half the election is now
completely done
you know half the constituencies have
been polled April the 29th is when phase
number 4 kicks in in this particular
phase you've got a Jammu and Kashmir one
seed Jharkhand three seats BR 5
parliamentary seats 6 important
constituencies in Madhya Pradesh go to
the polls
7
see the large number 17 seats in
Maharashtra go are the polls in the
crucial fourth phase orisha has six
Uttar Pradesh has 13 seats from West
Bengal has 8 so the fourth phase is
gonna be very crucial in those large
critical swing states during this
particular election come to face on the
5 you're into may may 6th is when
polling happens in phase 5 in this
particular phase you've got 5
parliamentary seats in Bihar that go to
the elections West Bengal 702 Pradesh 14
more seats mother pradesh 7 rajasthan 12
char cont for again very heavy you know
voting will take place in these
constituencies in the large states of
the country may 12th is when phase 6
kicks in this penultimate phase of this
election is May the 12th that happens to
be a Sunday there will be heavy voting
14 seats in Uttar Pradesh in phase
number 6 West Bengal has 8 delhi-ncr
kicks in with 7 Jharkand for Haryana 10
Madhu Pradesh 8 so that's another big
one Delhi NCR enters the fray in phase
number 6 and the final phase is phase
number 7 that's on may the 19th just
four days short of the results day when
the election results will be known in
this particular phase char country
Madhya Pradesh 8 punjab 13 west bengal 9
Chandigarh 1 utter Pradesh 13 and
Himachal Pradesh 4 so there are states
like West Bengal that have constituency
is going to the full across the 7 phases
so this is going to be a staggered phase
very protracted election there has been
some criticism over why there are so
many phases but there are many
complications and implications in
extending an election in this many
phases crucial States going to the
election the Election Commission has
applied its mind to make sure that they
have the capacity to deploy forces
ensure free and fair elections in many
places where things have happened in the
past so this is going to be a critical
election the longer you extend it the
more difficult you know it perhaps is in
some areas but the logic really is that
if you stagger it and phase it in this
manner it actually is easier to control
7 phases election 2019
you",True,en,38273,9,259
ymL7VTqC9F0,Speech Analytica Decodes Evolution Of Rahul Gandhi&#39;s Speeches In His #Elections2019 Campaign,Subscribe to India Today for NEW VIDEOS EVERY DAY and make sure to enable Push Notifications so you'll never miss a new ...,2019-04-05T13:05:41Z,India Today,https://i.ytimg.com/vi/ymL7VTqC9F0/hqdefault.jpg,"well that's the Congress party they're
going after Prime Minister Modi for his
words in watha like I said Rahul Gandhi
has just landed in Chandra port where he
will be addressing a rally just minutes
from now his helicopter has landed he's
heading to the rally site after that he
will be heading to vaartha where the
Prime Minister was speaking in that
sound bite you just heard I want to go
across now to India today Sahil Joshi
he's with us on the ground from wada
where you know where the Prime Minister
was speaking a few a few days ago and
where Romney will be speaking a short
while from now Sahil the Prime
Minister's words from what a few days
ago now the subject of a complaint by
the Congress to the Election Commission
and Rahul Gandhi will be there in birth
a short while from now as well okay
we've lost that line with a Sahil we'll
go back to him in berta but five days to
go ladies and gentlemen for the election
the man on your screen will be in
chandrapur in just a short while and me
and my panel here at speech analytical
will be live analyzing the sentiments
the words used all the thrust areas in
Rahul Gandhi's speech in this edition of
speech analytical before that in just
minutes from now before we go live to
Rahul Gandhi and begin to bring you
speech analytical I want to bring you I
want to I want to get a word in from
India today's fact-check team head val
krishna who's you know whose hands are
full you know Bala I can imagine your
team must be one of the busiest during
election time every day there must be
you know more than a handful of things
that you guys have to fact-check what's
it been like you know people are curious
I myself am curious what's it been like
with this speeches is your team finding
a lot of work to do with the speeches
also by big Methos interesting
leadership yet we can see that there is
a pattern to the speech you have
interacting the speeches off especially
around Gandhi and Narendra Modi animate
can see there are not too many facts
these leaders are talking right now if
you talk about hard facts that mean
shake what we see is there a definite
pattern to the speeches offer Narendra
Modi and Rahul Gandhi if you analyze the
patterns of the speeches of Narendra
Modi we can see that there generally
three layers in his speech the first
thing is this try to connect to the
public audience with
some emotive issues like subbu's versus
support referring to the two to our
media vans referring to Castagna then he
brings in some work about his flexible
schemes and how Congress government was
corrupt and white or why people should
not even think of coming back Congress
and then he touches some issues which
are hand-picked which touches about the
local issues what we see we'll see in
each other for he definitely picks up
some local issues that specific to the
conscience he that says he addressing to
while Rahul Gandhi will see that Rahul
Gandhi is straightforward he's very
aggressive his questioning Prime
Minister Shaukat our versus Joe kadar he
is we can see that he has been referring
to chalky that you're often in his
speeches and then is talking about
unemployment crisis absolutely so very
interesting layered speeches highly
structured nothing left to chance you
know these are hardly extemporary
speeches or shri Jenner I want to bring
you in on this as well because Rahul
Gandhi is about to begin speaking do you
do you see or do you notice a you know
an evolution in Rahul Gandhi's speeches
as we get closer to the elections I
think there's been a sort of steady
evolution shift in his speeches in any
case I think the the kind of watershed
moment came in Gujarat when his speeches
suddenly became much more aggressive
much more cutting much more ironic
that's when he first mentioned the
Gabbar Singh - yeah he seemed far more
confident so I think there has been a
sort of steady evolution I think Raphael
was a bit of a setback because he wasted
a lot of time and attention on a topic
that didn't actually spark off much
response so I think he's had to
backtrack obviously from Raphael it will
be interesting to see how he now tackled
the Prime Minister on jobs etc because
as I said the automatic response of many
people not just the Prime Minister is
what was your government your party
doing for so many decades employment and
unemployment are not new issues to India
which have suddenly popped up in the
last four and half years yes they have
been plaguing the Indian economy and
society for decades so he is on a
slightly weaker wicked there as well I
personally think he's going to try to
use the love peace goodwill lots of hugs
and kisses card let's see how far that
actually goes he is going to talk about
the Prime Minister's attacks on the
family etc I think he's probably going
to have to confront that far more
centrally than he has done but let's see
because Rahul Gandhi is not known for
making speeches that actually inflame
crowds he is not a charismatic speaker
of light mr. Modi is and hence
it is always interesting there's always
actually an element of surprise in what
he might come up with okay so what could
he actually come up with on Jumanji I
want to bring you in on this because you
know ultimately the voter you know is
being confronted with two threads and
two narratives with both of these
leaders you know both prominent leaders
Rahul Gandhi in the one side and
Narendra Modi or the other
pretty much sticking to their formulas
you know they're not they're not
stepping out of their comfort zones
right now so you know isn't that going
to be complicated ship as far as
Maharashtra is concerned they're 50% of
the geographical areas under drought and
these are the areas which are actually
under severe drought so probably in
Maharashtra the drought is the core
issue Farm distress is the core issue
and even mr. Modi and BJP will have to
go that they'll have to talk about that
yeah and if you see the campaigning of
foreign lease in the last few days days
here also also going but going back to
the farmer issue and reminding them that
what they have done for them
this is where the thing is that actually
and in Maharashtra the thing seats are
getting closer because of the late
alliance between Shia and BJP is now
settling down here now so probably Rahul
Gandhi is going to hit upon form
distress which is which is going to be
the more core issue of the elections
okay I I want to play out for you know
you know since this happened just a
short while ago when Rahul Gandhi was in
Hoonah where there were chants of Modi
and he was forced to respond on that
interesting point if the sentiment that
he's expressed before that I have no
hatred for Modi this is a man he's
actually hugged in Parliament as well I
just want to play out that interesting
segment for you now I love mr. Narendra
Modi
I genuinely I genuinely I genuinely have
no hatred towards the man at all
I have no anger never doubt me say
something it
I have no angle but I have no anger
towards or hatred towards mr. nerim oh
he has he has he has anger towards me
[Applause]
it's fine it's fine no problem I have I
have no anger towards the middle
[Applause]
oK we've got more breaking news coming
in now thanks for watching the video for
more such news and updates please like
share and subscribe to India today also
check out our other great videos from
our Channel we know you would love to
[Music]",True,en,3771,1,31
cNr0T-IZ5w8,Christian Michel Moves Court: &quot;How Was ED Charge Sheet Leaked To Media?&quot;,"AgustaWestland case middleman Christian Michel has moved the court, demanding to know how his statement in the ED charge ...",2019-04-05T10:49:15Z,India Today,https://i.ytimg.com/vi/cNr0T-IZ5w8/hqdefault.jpg,"a day after the Enforcement Directorate
chargesheet coated augustawestland scam
accused Michaele as saying that aap
means the Commission's MFA tale and F
a.m. means family now we hear that
Christian Michele has a question just
how the IDI chart sheet has been leaked
to the media
Christian Michele's lawyers claimed that
this is clear contempt of court le côté
is to take up his application tomorrow
when he joins us for more in this Manish
now it's the turn of Christian Michele
who raised all these questions about the
supplementary Chachi that was filed by
the Enforcement Directorate and the
contents of this charge sheet that are
in public domain novel Christian Michele
through his learn has filed an
application before the court and he has
alleged that before taking cognizance by
the court the charge sheet was leaked to
the media now it's very technical
because remember this is not the first
time when charge sheet was filed again
Christian Michele this was a third
charge sheet and the first sheet against
him was filed in 2016 so the matter of
cognizance doesn't matter in this case
because as far as Christian Michele is
concerned the court the court doesn't
need to consider cognizance of this
entire charge sheet but as far as the
entire charge sheet is concerned there
are three new accused in this case and
that is why the cognizance is required
so it's a little bit technical and that
is why I quote we'll be hearing this
matter tomorrow at 2 o clock but as far
as this charge sheet is concerned it's a
very sensational charge sheet because
remember just before the election the
IDI is now in black and white mentioned
the name of a mod Patil and FM that is
family and also they have mentioned mrs.
Gandhi so it's going to have a
far-reaching political implications as
far as this election is concerned back
to you
absolutely thanks so much for joining us
Manish thanks for watching the video for
more such news and updates please like
share and subscribe to
to be also check out our other great
videos from our channel we know you
would love to
[Music]",True,en,611,1,1
